Origin (UTC)	Country	Lat	Long	Depth (km)	Magnitude	PDE Shaking Deaths	PDE Total Deaths	Utsu Total Deaths	EM-DAT Total Deaths	Other Source Deaths
1969-10-02 06:19 	United States  	38.3	-122.764	15	5.7 Muk 			1		
1969-10-27 08:10 	Bosnia and Herzegovina 	44.837	17.234	15	6.1 Ms 			9		
1970-01-04 17:00 	China  	24.147	102.462	14	7.2 Mw 			15621	10000	
1970-05-14 09:20 	Russian Federation 	43.079	47.08	13.2	5.5 mb 					
1970-05-14 18:12 	Russian Federation 	43.102	47.071	12.7	6.5 Ms 					
1970-06-05 04:53 	Kyrgyzstan 	42.492	78.719	4	6.6 Ms 					
1971-04-03 04:49 	China 	32.178	95.028	15	5.6 mb 			1		
1971-04-12 19:03 	Iran 	28.264	55.608	5.6	5.9 Ms 			1		
1971-04-28 15:32 	China 	22.953	100.993	8	6.3 Ms 			2		
1971-07-26 01:48 	China 	39.848	77.246	41.1	5.8 mb 			1		
1971-08-16 04:58 	China 	28.879	103.672	22.7	5.5 mb 			10		
1971-10-12 09:45 	Guatemala 	15.797	-91.137	35.5	5.7 Ms 			2		
1973-02-06 10:37 	China 	31.353	100.545	10	7.7 Muk 			2199		
1973-08-16 03:58 	China 	23.003	101.078	6.4	6.4 Ms 			1		
1974-04-22 00:29 	China 	31.533	119.28	14.2	5.5 Ms 			8		
1974-05-10 19:25 	China  	28.195	104.007	10.2	6.8 Ms 			1541		
1974-10-02 02:54 	Peru 	-5.882	-81.019	20.5	5.7 mb 				78	
1975-02-04 11:36 	China  	40.667	122.646	8	7.0 Mw 			1328	10000	2041
1975-07-08 12:04 	Burma 	21.452	94.598	117.6	6.5 mb 			1		
1976-01-13 13:29 	Iceland 	66.226	-16.578	15	6.3 Mw 				1	
1976-02-04 09:30 	Guatemala  	14.812	-90.469	60.4	5.4 mb 					
1976-04-05 16:54 	China 	40.23	112.222	7	5.5 Ms 			28		
1976-05-29 12:23 	China 	24.501	98.93	6.5	6.7 Mw 			98		
1976-05-29 14:00 	China 	24.581	98.61	7.6	6.6 Mw 					
1976-07-21 15:10 	China 	24.768	98.667	4.3	6.1 Mw 			11		
1976-07-28 10:45 	China 	39.723	118.359	18.2	7.0 Mw 					
1976-08-16 14:06 	China  	32.753	104.088	10.7	6.7 Mw 				0	
1976-08-16 16:11 	Philippines  	6.292	124.089	57.9	8.0 Mw 		6500	8000	6000	
1976-08-17 04:19 	Philippines 	7.259	122.96	20.2	7.1 Mw 					
1976-08-23 03:30 	China 	32.481	104.182	7.9	6.4 Mw 			41		
1976-11-06 18:04 	China 	27.554	101.021	7.7	6.3 Mw 			33		
1976-12-13 06:36 	China 	27.336	101.024	3.4	5.9 Ms 			2		
1977-01-01 21:39 	China 	38.185	91.014	5.3	6.0 Mw 			2		
1977-03-04 21:21 	Romania  	45.776	26.702	89	7.5 Mw 			1581	1641	
1977-08-19 05:08 	Indonesia 	-11.18	118.37	29.4	5.7 Mw 				185	
1977-08-19 06:08 	Indonesia 	-11.126	118.38	22.6	8.3 Mw 		189	189		
1978-06-12 08:06 	Japan 	38.235	142.105	46.2	5.7 mb 			28		
1979-03-15 12:52 	China 	23.162	101.106	13.5	6.0 Mw 			12		
1980-08-23 21:50 	India 	32.893	75.776	11.3	5.5 Mw 			13		
1980-10-10 15:39 	Algeria  	36.213	1.577	12.4	6.2 Mw 					
1981-02-25 02:35 	Greece 	38.097	23.17	6	6.4 Mw 					
1981-06-21 10:30 	Chile 	-20.276	-70.384	36	5.7 Mw 				10	
1982-01-23 14:10 	Taiwan 	23.951	121.752	11.8	6.0 Mw 			1		
1983-04-04 02:51 	Indonesia 	5.722	94.687	85.6	7.0 Mw 				0	
1983-04-05 06:50 	China 	39.972	75.215	10.7	5.8 Mw 					
1983-04-12 12:07 	Peru 	-4.846	-78.091	125.9	7.0 Mw 			10		
1983-10-25 00:36 	Indonesia 	1.151	120.841	26.6	6.5 Mw 			2		
1983-12-16 13:15 	Tajikistan 	39.351	72.929	13.3	5.9 Mw 				12	
1983-12-21 23:32 	Papua New Guinea 	-5.446	151.895	42.2	6.2 Mw 			10	10	
1984-05-21 15:37 	China 	32.604	121.602	43.8	6.0 Mw 			13		
1984-06-24 11:17 	Dominican Republic 	17.981	-69.371	45.1	6.7 Mw 			5		
1985-09-21 01:37 	Mexico 	17.831	-101.623	17.6	7.5 Mw 					
1986-08-06 19:55 	China 	29.28	100.754	10.8	5.3 Mw 			2		
1987-03-06 01:54 	Ecuador  	0.04	-77.666	12.6	6.4 Mw 				5000	
1988-08-11 16:00 	Iran 	29.944	51.585	7.8	5.8 Mw 				1	
1988-09-06 00:42 	Papua New Guinea 	-6.062	146.226	0	4.3 ML 			74		
1988-11-06 13:15 	China 	23.186	99.411	8.9	6.4 mb 					
1989-01-22 23:02 	Tajikistan 	38.461	68.699	3.4	5.3 mb 		274	274	274	
1989-03-09 02:37 	Malawi 	-13.683	34.473	27.4	5.6 Mw 				9	
1989-07-21 03:09 	China 	30.001	99.362	5.9	5.6 Mw 			3		
1989-10-18 17:01 	China 	40.014	113.933	4.5	5.6 Mw 			17		
1989-10-29 19:21 	Algeria 	36.706	2.437	16.6	5.6 Ms 					
1990-02-08 07:15 	Philippines 	9.767	124.631	26	6.7 Mw 				1	
1990-04-26 09:37 	China 	36.059	100.278	9.3	6.2 Mw 			119	126	
1990-05-05 07:21 	Italy 	40.665	15.851	1.7	5.8 Mw 				2	
1991-01-05 14:57 	Burma 	23.559	95.89	16.2	6.9 Mw 			2	0	
1991-01-31 23:03 	Afghanistan 	35.944	70.403	142	6.8 Mw 			703	3	
1991-04-18 09:18 	Tajikistan 	37.464	68.269	10.5	5.5 Mw 			3	24	
1992-09-02 00:16 	Nicaragua  	11.727	-87.38	45	7.6 Mw 		184	184	179	
1992-12-12 05:29 	Indonesia  	-8.498	121.832	28	7.7 Mw 		2519	1740	2500	
1993-01-15 11:06 	Japan 	43.022	144.194	94.8	7.6 Mw 			2	2	
1993-02-02 16:05 	China 	42.2	86.144	32	5.7 mb 			4		
1993-10-13 02:06 	Papua New Guinea 	-5.844	146.131	25	6.9 Mw 		60	60	53	
1994-02-15 17:07 	Indonesia 	-4.999	104.255	23	6.8 Mw 		207	207	207	
1994-05-01 12:00 	Afghanistan 	36.934	67.124	17.5	6.1 Mw 				160	
1994-06-02 18:17 	Indonesia  	-10.409	112.934	34.5	7.8 Mw 		277	277		
1994-10-04 13:22 	Russian Federation 	43.863	147.353	14	8.3 Mw 		11	11	5	
1995-03-26 15:12 	Ecuador 	-2.133	-79.509	95.5	5.6 Mw 				1	
1996-09-24 19:24 	China 	27.212	100.332	8.2	5.5 Mw 			1	0	
1998-07-09 14:19 	Azerbaijan 	38.726	48.525	29	5.9 Mw 				1	
1999-09-25 23:52 	Taiwan 	23.813	121.087	17	6.5 Mw 			5		
1999-11-26 13:21 	Vanuatu 	-16.316	168.239	33	7.4 Mw 		10	10	12	
2000-01-14 22:09 	China  	25.549	101.118	13.6	5.5 Mw 				7	
2000-06-05 23:55 	Indonesia 	-4.151	101.953	47	5.5 Mw 				1	
2000-11-25 18:10 	Azerbaijan 	40.161	49.912	52.9	6.5 Mw 					
2002-01-21 04:39 	Democratic Republic of the Congo 	-1.77	28.996	11.6	5.1 Mw 				45	
2002-03-27 08:52 	Afghanistan 	36.053	69.248	9.1	5.6 Mw 					
2002-11-03 07:33 	Pakistan 	35.348	74.595	15.7	5.3 Mw 					
2003-05-22 18:11 	Kazakhstan 	42.954	72.763	35	5.5 Mw 				3	
2003-07-27 07:32 	Bangladesh 	22.743	92.168	10	4.3 mb 					
2003-07-27 12:07 	Bangladesh 	22.836	92.316	35	5.4 Mw 					
2003-10-25 12:47 	China 	38.371	100.994	13.5	5.8 Mw 					
2004-02-14 11:56 	Pakistan 	34.772	73.169	11	5.3 Mw 					
2004-02-25 12:44 	Morocco 	35.225	-4.08	7.2	5.2 Mw 					
2004-02-26 12:07 	Morocco 	35.246	-4.178	18.3	4.9 Mw 					
2004-03-07 06:37 	Morocco 	35.174	-4.161	34.6	5.1 Mw 					
2004-05-28 12:38 	Iran 	36.257	51.565	26.7	6.3 Mw 		35		35	
2004-12-26 00:58 	Indonesia  	3.287	95.972	30	9.1 Mw 		297200			231000
2007-09-12 23:49 	Indonesia 	-2.66	100.83	37.3	7.9 Mw 					
2007-09-13 03:35 	Indonesia 	-2.15	99.61	27	7.1 Mw 					
2008-07-15 03:26 	Greece  	35.983	27.785	68	6.4 Mw 					
2008-08-21 12:24 	China  	25.1	97.9		5.9 Ms 					
2008-08-30 8:30 	China  	26	101.9	10	5.7 Mw 					41
2008-10-05 15:52 	Kyrgyzstan  	39.515	73.768	27.6	6.9 Mw 					60
2008-10-06 16:30 	China  				6.4 Mw 					
2008-10-28 23:09 	Pakistan  				6.4 Mw 					215
2009-01-08 19:21 	Costa Rica  	10.3962	-84.0281	48	6.1 Mw 					34
2009-04-06 03:32 	Italy  	42.334	13.334	8.8	6.2 Mw 					295
2009-07-09 11:19 	China  				5.7 Mw 					
2009-08-10 20:07 	Japan  				6.4 Mw 					1
2009-09-02 07:55 	Indonesia  				7.0 Mw 					79
