Origin (UTC)	Country	Lat	Long	Depth (km)	Magnitude	PDE Shaking Deaths	PDE Total Deaths	Utsu Total Deaths	EM-DAT Total Deaths	Other Source Deaths
1995-10-01 15:57 	Turkey 	38.077	30.143	31	6.4 Mw 	101	101	101	94	
1971-05-12 06:25 	Turkey 	37.555	29.746	28.8	5.9 Ms 	100	100	57		
1972-09-03 16:48 	Pakistan 	35.949	73.321	32.9	6.2 Ms 	100	100	100		
1997-02-04 10:37 	Iran 	37.724	57.305	15	6.5 Mw 	100	100	100	100	
1999-03-28 19:05 	India   	30.475	79.401	10.7	6.5 Mw 	100	100	100	100	
1995-10-06 18:09 	Indonesia 	-2.007	101.45	36.6	6.7 Mw 	84	84	84	84	
1971-07-09 03:03 	Chile 	-32.558	-71.085	59	7.8 Mw 	83	83	83	85	
1970-12-10 04:34 	Peru 	-4.079	-80.662	20.1	7.1 Mw 	81	81	81	29	
1995-10-23 22:46 	China 	25.947	102.22	14.7	6.2 Mw 	81	81	53	46	
1997-07-09 19:24 	Venezuela 	10.45	-63.532	10	6.9 Mw 	81	81	81	80	
1974-10-03 14:21 	Peru 	-12.254	-77.523	33.5	8.1 Mw 	78	78	78		
1994-11-14 19:15 	Philippines 	13.543	121.059	32	7.1 Mw 	78	78	78	81	
1978-12-14 07:05 	Iran 	32.128	49.634	18.9	6.1 Mw 	76	76	76	45	
1991-04-22 21:56 	Costa Rica 	9.673	-83.072	12.9	7.6 Mw 	75	75	75	47	
1985-08-23 12:41 	China   	39.447	75.264	4.3	6.9 Mw 	71	71	67	67	
1977-11-23 09:26 	Argentina   	-31.082	-67.78	19.5	7.4 Mw 	70	70	70		
1998-01-10 03:50 	China 	41.137	114.523	5	5.7 Mw 	70	70	49	49	
1999-02-11 14:08 	Afghanistan 	34.323	69.165	25.5	6.0 Mw 	70	70	70	70	
2006-03-31 01:17 	Iran   	33.5	48.78	7	6.1 Mw 	70	70		63	
2007-03-06 03:49 	Indonesia   	-0.48	100.47	19.3	6.4 Mw 	67	67		67	
1971-02-09 14:00 	United States   	34.401	-118.392	6.4	6.7 Muk 	65	65	58	65	
1989-10-18 00:04 	United States   	37.11	-121.764	16	6.9 Mw 	62	62	63	62	
1992-08-19 02:04 	Kyrgyzstan 	42.111	73.588	17.1	7.2 Mw 	61	75	75	54	
1980-01-01 16:42 	Portugal   	38.726	-27.751	12.2	6.9 Mw 	60	60	56	69	
1994-01-17 12:30 	United States   	34.164	-118.563	19	6.7 Mw 	60	60	60		33
1997-02-27 21:08 	Pakistan   	29.979	68.165	34.9	7.1 Mw 	60	60	57	50	
1969-03-28 01:48 	Turkey 	38.535	28.467	9.3	6.4 Ms 	53	53	53	41	
1991-04-05 04:19 	Peru 	-5.977	-77.081	20	6.9 Mw 	53	53	53		
1979-11-23 23:40 	Colombia 	4.793	-76.19	107.7	7.2 Mw 	52	52	52	60	
1978-06-20 20:03 	Greece   	40.76	23.303	7.4	6.5 Mw 	50	50	50		
2002-04-12 04:00 	Afghanistan 	35.988	69.296	7.8	5.8 Mw 	50	50	50	50	
1976-03-19 13:03 	Afghanistan 	36.587	67.758	18.2	5.6 mb 	49	49	49	50	
1995-10-09 15:35 	Mexico   	19.053	-104.208	26.4	8.0 Mw 	49	49	58		
2001-06-23 20:33 	Peru   	-16.385	-73.505	33.7	8.4 Mw 	48	138	139	145	
1975-01-19 08:02 	India   	32.373	78.474	5	6.8 Ms 	47	47	47	47	
2000-05-04 04:21 	Indonesia 	-1.14	123.522	26	7.5 Mw 	46	46	46	45	
2002-02-03 07:11 	Turkey 	38.527	31.227	5	6.5 Mw 	44	44	44	42	
2008-02-03 07:34 	Democratic Republic of the Congo   	-2.296	28.9	10	5.9 Mw 	44	44		43	
1982-06-19 06:21 	El Salvador   	13.337	-89.313	72.8	7.3 Mw 	43	43	43		
1995-02-08 18:40 	Colombia 	4.052	-76.589	74	6.3 Mw 	42	42	42	40	
1979-07-09 10:57 	China 	31.472	119.27	12.6	5.4 Mw 	41	41	42		
1998-11-29 14:10 	Indonesia 	-1.939	124.818	16	7.7 Mw 	41	41	41		
2004-10-23 08:56 	Japan   	37.23	138.801	16	6.6 Mw 	40	40		40	68
1997-05-21 22:51 	India   	23.072	80.083	36	5.8 Mw 	38	38	38	43	
1979-05-30 09:38 	Indonesia 	-8.345	115.864	20	6.2 Mw 	37	37	22	34	
1987-11-26 01:43 	Indonesia 	-8.259	124.149	27.3	6.5 Mw 	37	37	83	125	
2004-02-05 21:05 	Indonesia 	-3.661	135.597	23	7.0 Mw 	37	37		37	
1992-05-20 12:20 	Pakistan 	33.318	71.272	12.9	6.0 Mw 	36	36	36	36	
1983-11-06 21:09 	China 	35.223	115.204	32.1	5.5 Mw 	34	34	45	34	
2004-11-11 21:26 	Indonesia 	-8.166	124.764	13	7.5 Mw 	34	34		33	
2004-11-26 02:25 	Indonesia 	-3.615	135.45	24	7.1 Mw 	32	32		32	
1977-03-25 02:39 	Turkey 	38.647	40.057	17.4	5.3 Mw 	30	30	30	30	
1979-11-02 15:53 	Indonesia 	-7.746	108.165	72.1	6.5 Mw 	30	30	23	26	
1983-03-25 11:57 	Iran 	36.042	52.295	14.6	5.4 Mw 	30	30	100	30	
1989-10-29 19:09 	Algeria 	36.706	2.441	6	5.9 Mw 	30	30	35	22	
1985-10-13 15:59 	Tajikistan 	40.337	69.81	15.9	5.8 Mw 	29	29		29	
1989-10-18 14:57 	China 	39.959	113.94	5.6	5.4 Mw 	29	29	29	29	
2002-10-31 10:33 	Italy   	41.738	14.852	5.7	5.7 Mw 	29	29	29	30	
2003-01-22 02:06 	Mexico   	18.9	-104.063	24	7.5 Mw 	29	29		29	
1974-05-08 23:33 	Japan 	34.57	138.771	11.3	6.7 Muk 	27	27	30	30	
1979-12-17 19:58 	Indonesia 	-8.487	115.753	15	6.5 Mw 	27	27	32	32	
1996-03-28 23:03 	Ecuador 	-1.031	-78.659	9	5.9 Mw 	27	27		27	
1973-04-14 08:34 	Costa Rica 	10.673	-84.86	30.3	6.5 Ms 	26	26	26		
1980-12-19 01:16 	Iran 	34.472	50.643	12.7	6.2 Mw 	26	26	26	20	
1983-12-30 23:52 	Afghanistan 	36.405	70.677	215.9	7.4 Mw 	26	26	12	24	
1995-06-15 00:15 	Greece 	38.444	22.309	14	6.2 Mw 	26	26	26	26	
1999-05-06 23:00 	Iran 	29.519	51.907	16.3	6.2 Mw 	26	26	26	20	
1968-09-03 08:19 	Turkey 	41.771	32.452	4.9	5.7 mb 	25	25	29	29	
1991-09-18 09:48 	Guatemala 	14.604	-90.932	10.6	6.2 Mw 	25	25	25	14	
2007-09-12 11:10 	Indonesia 	-4.44	101.37	34	8.5 Mw 	25	25			
1969-03-29 09:15 	Ethiopia 	11.939	41.219	12	6.3 Ms 	24	24	40	24	
1984-09-13 23:48 	Japan   	35.801	137.466	1.1	6.2 Mw 	24	24	29	20	
1996-03-19 15:00 	China 	40.043	76.621	18.9	6.3 Mw 	24	24	24	26	
1999-12-22 17:36 	Algeria 	35.21	-1.316	2.3	5.6 Mw 	24	24	24	22	
1985-04-18 05:52 	China   	25.891	102.885	4.1	5.7 Mw 	23	23	22		
1991-07-04 11:43 	Indonesia   	-8.146	124.587	29	6.7 Mw 	23	23	23	28	
1997-11-21 11:23 	India   	22.26	92.715	54	6.1 Mw 	23	23	23	23	
1978-06-12 08:14 	Japan   	38.224	142.009	53.3	7.6 Mw 	22	22			
1990-11-06 18:45 	Iran 	28.242	55.457	11.1	6.6 Mw 	22	22	22	21	
1978-01-14 03:24 	Japan 	34.803	139.294	10.7	6.6 Mw 	21	25	25	21	
1984-12-30 23:33 	India 	24.684	92.864	3.4	6.0 Mw 	20	20		20	
1986-09-13 17:24 	Greece 	37.072	22.176	21.7	6.0 Mw 	20	20	21	20	
1990-06-21 09:02 	Iran 	36.631	49.785	12.4	5.7 Mw 	20	20	20		
1991-07-24 09:45 	Iraq 	36.598	44.061	20	5.5 Mw 	20	20	20		
1990-12-13 00:24 	Italy 	37.286	15.402	12.1	5.6 Mw 	19	19	12	19	
2002-11-20 21:32 	Pakistan 	35.337	74.556	14.8	6.3 Mw 	19	19	19	19	
1979-02-16 10:08 	Peru 	-16.537	-72.553	55.1	7.1 Mw 	18	18	18	13	
1996-05-03 03:32 	China 	40.777	109.713	24.5	6.0 Mw 	18	18	26	18	
1997-09-28 01:38 	Indonesia 	-3.773	119.658	13	5.8 Mw 	18	18	17	20	
2004-07-01 22:30 	Turkey 	39.735	43.908	27.1	5.1 Mw 	18	18		18	
1973-01-30 21:01 	Mexico 	18.455	-102.96	37.2	7.5 Ms 	17	17	56	17	
1976-11-07 04:00 	Iran 	33.82	59.18	6.5	6.0 Mw 	17	17	17	16	
1979-11-27 17:10 	Iran 	34.056	59.754	7.4	7.0 Mw 	17	17	17	16	
1981-02-24 20:53 	Greece 	38.159	22.976	16.2	6.7 Mw 	16	16	21	22	
1983-08-17 12:17 	Philippines 	18.206	120.785	29	6.6 Mw 	16	16	24	19	
1986-04-05 20:14 	Peru 	-13.402	-71.757	49	5.2 Mw 	16	16	16	15	
1999-06-15 20:42 	Mexico  	18.381	-97.445	63	6.9 Mw 	16	20	17	15	
2002-03-03 12:08 	Afghanistan  	36.508	70.503	204	7.3 Mw 	16	166	166	150	
2003-07-21 15:16 	China 	25.958	101.26	35	5.9 Mw 	16	16	16	16	
2005-11-26 00:49 	China  	29.714	115.663	10.5	5.2 Mw 	16	16			
1968-09-25 10:38 	Mexico 	15.551	-92.66	122.4	5.8 mb 	15	15	48	15	
1970-10-31 17:53 	Papua New Guinea  	-4.907	145.471	8.1	7.3 Muk 	15	15	5	15	
1973-03-17 08:30 	Philippines 	13.415	122.804	44.3	7.5 Muk 	15	15	15	14	
1979-09-12 05:17 	Indonesia 	-1.682	135.974	17.6	7.5 Mw 	15	15	15	2	
1980-08-23 21:36 	India 	32.922	75.693	14.5	5.5 Mw 	15	15	15	13	
1981-10-18 04:31 	Colombia 	8.111	-72.501	39.3	5.9 Mw 	15	15	15	10	
1986-05-05 03:35 	Turkey 	37.999	37.781	4.1	6.0 Mw 	15	15	15	15	
1986-11-14 21:20 	Taiwan 	23.974	121.727	34	7.3 Mw 	15	15	13		
1997-03-19 19:57 	Pakistan 	34.79	71.523	15	4.9 mb 	15	15	15		
1999-09-30 16:31 	Mexico  	16.055	-96.905	40	7.4 Mw 	15	15	35	31	
2002-03-05 21:16 	Philippines 	6.028	124.218	31	7.5 Mw 	15	15	15	15	
1969-10-26 15:36 	Bosnia and Herzegovina 	44.807	17.353	15	5.6 Ms 	14	14	20	15	
1970-04-07 05:34 	Philippines 	15.772	121.659	28.3	7.2 Mw 	14	14	15	14	
1995-07-21 22:44 	China 	36.436	103.166	7.4	5.6 Mw 	14	14	14	14	
1996-11-12 16:59 	Peru 	-14.959	-75.562	21	7.7 Mw 	14	14	15	14	
1969-02-28 02:40 	Portugal  	35.923	-10.568	32.5	7.8 Mw 	13	13	13		
1982-12-25 12:28 	Indonesia 	-8.43	122.97	6.7	5.9 Mw 	13	13	13	13	
1990-05-30 10:40 	Romania 	45.855	26.649	89	6.9 Mw 	13	14	14	22	
2005-11-27 10:22 	Iran, 2005 Qeshm earthquake 	26.786	55.833	18.4	5.9 Mw 	13	13		13	
2008-06-13 23:43 	Japan  	39.03	140.881	7	6.9 Mw 	13	13		13	
1969-09-29 20:03 	South Africa 	-33.19	19.336	15	6.3 Ms 	12	12	12	9	
1989-12-27 23:26 	Australia  	-33.02	151.602	9.7	5.5 Md 	12	12	9		
1991-07-23 19:44 	Peru 	-15.707	-71.721	24.2	5.2 Mw 	12	92	92	11	
1997-01-21 01:48 	China  	39.536	76.879	15	5.9 Mw 	12	12	12	12	
1998-04-10 15:00 	Iran 	32.447	60.063	7	5.7 Mw 	12	12	12		
1972-06-24 15:29 	Afghanistan 	36.255	69.684	31.1	6.1 Ms 	11	11	11		
1974-07-13 01:18 	Panama 	7.737	-77.631	3.8	7.3 Ms 	11	11	11		
1976-09-15 03:15 	Italy  	46.314	13.206	0.9	6.0 Mw 	11	11	11		
1989-04-15 20:34 	China 	29.955	99.202	13.8	6.4 Mw 	11	11	8	8	
1990-03-04 19:46 	Pakistan 	28.906	66.354	8.3	6.0 Mw 	11	11	11	11	
1990-10-25 04:53 	Afghanistan 	35.09	70.429	110.2	5.8 Mw 	11	11	11		
1995-07-11 21:46 	Burma 	21.948	99.103	9.2	6.8 Mw 	11	11	11	11	
1997-09-26 09:40 	Italy  	43.078	12.781	6	6.0 Mw 	11	11	11	14	
2000-12-06 17:11 	Turkmenistan 	39.532	54.801	30.6	7.0 Mw 	11	11	11	11	
2002-11-01 22:09 	Pakistan 	35.393	74.627	27.5	5.3 Mw 	11	11		17	
2003-12-01 01:38 	Kazakhstan 	42.885	80.546	17	6.0 Mw 	11	11	11	11	
1974-01-05 08:33 	Peru 	-12.351	-76.307	91.9	6.6 Muk 	10	10	10		
1982-06-15 23:24 	China 	31.871	99.872	10.3	5.6 Mw 	10	10	11	10	
1985-09-15 02:42 	Indonesia 	-4.064	136.093	4.2	6.3 Mw 	10	10	10	10	
1991-11-22 00:40 	Yemen 	13.887	44.068	10	4.7 mb 	10	10	11	10	
1998-07-09 05:19 	Portugal 	38.621	-28.566	9	6.1 Mw 	10	10	10	10	
2004-02-14 10:30 	Pakistan 	34.751	73.178	11	5.4 Mw 	10	24		24	
2004-03-25 19:30 	Turkey 	39.804	40.721	56.3	5.6 Mw 	10	10		9	
1976-10-06 09:12 	Ecuador 	-0.726	-78.732	4.7	5.7 mb 	9	9	9		
1978-11-29 19:52 	Mexico 	16.011	-96.603	24.8	7.8 Mw 	9	9	9	9	
1982-06-07 10:59 	Mexico 	16.518	-98.347	18.9	6.9 Mw 	9	9	9		
1989-03-10 21:49 	Malawi  	-13.708	34.485	30	6.3 Mw 	9	9	9		
1995-11-22 04:15 	Egypt  	28.762	34.808	14	7.2 Mw 	9	10	10	10	
1997-04-11 05:34 	China 	39.536	76.892	20	6.1 Mw 	9	9	9	9	
2003-05-27 17:11 	Algeria 	36.865	3.592	8	5.7 Mw 	9	9		9	
2003-10-25 12:41 	China 	38.386	100.978	12	5.8 Mw 	9	9	9	9	
2007-07-16 01:13 	Japan  	37.52	138.46	12	6.6 Mw 	9	9		9	
1976-04-09 07:08 	Ecuador 	0.85	-79.564	17	6.6 Mw 	8	8	8	10	
1979-12-15 00:02 	Indonesia 	-3.339	102.567	13	6.5 Mw 	8	8	8	5	
1980-08-18 15:07 	Ecuador 	-1.987	-80.002	55.9	5.9 Mw 	8	8	8	8	
1981-04-18 00:32 	Peru 	-13.116	-74.373	40.8	5.5 Mw 	8	8	8	8	
1987-10-01 14:42 	United States  	34.061	-118.135	14.4	5.9 Mw 	8	8	8	8	
1991-06-15 00:59 	Georgia 	42.406	44.011	6	6.2 Mw 	8	8	8	8	
1992-09-11 03:57 	Democratic Republic of the Congo 	-6.151	26.66	11	6.3 Mw 	8	8	8	9	
1995-03-04 23:23 	Colombia 	1.282	-77.307	5	4.4 mb 	8	8	8	8	
1996-01-01 08:05 	Indonesia 	0.714	119.905	24	7.9 Mw 	8	9	10	9	
2002-10-10 10:50 	Indonesia 	-1.7	134.23	16	7.5 Mw 	8	8	8	8	
2004-11-20 08:07 	Costa Rica 	9.623	-84.165	16	6.4 Mw 	8	8		8	
2008-05-25 08:21 	China 	32.56	105.423	18	6.1 Mw 	8	8			
1972-03-20 07:33 	Peru 	-6.81	-76.78	49.8	6.9 Muk 	7	7	7		
1975-03-07 07:04 	Iran 	27.477	56.224	11	6.1 Ms 	7	7	7		
1980-11-12 06:58 	Peru 	-13.347	-74.545	71	4.9 mb 	7	7	7		
1994-01-21 02:24 	Indonesia 	1.043	127.773	20	6.9 Mw 	7	7	7	7	
1995-01-19 15:05 	Colombia 	5.044	-72.936	17	6.5 Mw 	7	7	7	7	
1997-10-15 01:03 	Chile  	-30.878	-71.167	58	7.1 Mw 	7	8	8	8	
2000-01-14 23:37 	China  	25.567	101.071	24.9	5.9 Mw 	7	7	7		
2000-07-06 19:30 	Nicaragua 	11.928	-86.066	15	5.4 Mw 	7	7	7	7	
2006-12-17 21:39 	Indonesia 	0.626	99.859	30	5.8 Mw 	7	7			
1976-05-17 02:58 	Uzbekistan 	40.373	63.428	14.8	6.7 Mw 	6	6	6	0	
1981-06-22 17:53 	Peru 	-13.185	-74.463	15.6	5.8 Mw 	6	6	6		
1981-12-12 20:26 	Pakistan 	29.912	67.08	35	4.6 mb 	6	6	6		
1985-01-26 03:06 	Argentina  	-33.109	-68.593	19.2	5.9 Mw 	6	6	6	6	
1985-04-24 01:07 	Philippines 	16.541	120.812	5.3	6.1 Mw 	6	6	6		
1985-10-27 19:34 	Algeria 	36.386	6.846	30.4	5.8 Mw 	6	6	5	30	
1986-04-26 07:35 	India 	32.118	76.397	10.2	5.5 Mw 	6	6	6	6	
1990-06-17 04:51 	Pakistan 	27.39	65.665	13.7	6.1 Mw 	6	6		0	
1992-03-04 11:57 	Iran 	31.605	50.758	25	5.1 Mw 	6	6	6	5	
1994-02-23 08:02 	Iran 	30.788	60.532	7	6.1 Mw 	6	6	6	9	
1999-07-22 10:42 	Bangladesh 	21.658	91.933	25	5.2 mb 	6	6	6	6	
1999-09-13 11:55 	Turkey 	40.736	30.089	13	5.8 Mw 	6	7	6	6	
2000-12-15 16:44 	Turkey 	38.451	31.265	12	6.0 Mw 	6	6	6		
2004-03-01 23:55 	Turkey 	38.058	38.277	5	3.8 Md 	6	6			
2005-12-05 12:19 	Tanzania  	-6.246	29.789	20	6.8 Mw 	6	6		6	
1971-10-15 10:33 	Peru 	-14.183	-73.399	80	5.7 mb 	5	5	14		
1976-05-15 21:55 	Peru 	-11.66	-74.419	19	6.7 Mw 	5	5	5		
1976-09-11 16:31 	Italy 	46.339	13.181	4.2	5.5 Ms 	5	5	5		
1978-04-15 23:33 	Italy 	38.381	15.073	17	6.0 Mw 	5	5	5		
1978-07-29 14:37 	Guatemala 	14.758	-90.99	15	4.9 mb 	5	5	17		
1979-03-14 11:07 	Mexico 	17.758	-101.221	24.7	7.4 Mw 	5	5	15	5	
1979-09-19 21:35 	Italy 	42.773	13.01	15	5.8 Mw 	5	5	5	5	
1983-07-05 12:01 	Turkey  	40.309	27.254	2.6	6.1 Mw 	5	5	5		
1983-10-04 18:52 	Chile 	-26.539	-70.502	23.9	7.6 Mw 	5	5	5		
1984-06-24 18:18 	Dominican Republic 	18.039	-69.233	24.8	5.2 Mw 	5	5			
1985-07-29 07:54 	Afghanistan 	36.165	70.857	100.1	7.4 Mw 	5	5	5	5	
1987-08-08 15:48 	Chile 	-19.092	-70.005	70.7	7.2 Mw 	5	5	5	5	
1988-11-03 14:47 	Guatemala 	13.908	-90.501	75.2	6.6 Mw 	5	5	5	5	
1993-03-12 14:01 	Wallis and Futuna 	-14.409	-178.162	10	6.3 Mw 	5	5	5	5	
1998-03-14 19:40 	Iran 	30.126	57.585	13.8	6.6 Mw 	5	5	5	5	
1998-07-17 04:51 	Taiwan 	23.503	120.711	11	5.7 Mw 	5	5	5		
1998-11-13 13:01 	Iran 	27.791	53.642	12.5	5.4 Mw 	5	5	5	5	
1998-11-19 11:38 	China 	27.263	100.955	4.8	5.6 Mw 	5	5	6	3	
1998-12-11 20:16 	Afghanistan 	36.518	71	219	5.6 Mw 	5	5	5		
1999-12-21 14:14 	Indonesia 	-6.823	105.498	42	6.4 Mw 	5	5	5	5	
2000-11-25 18:09 	Azerbaijan  	40.198	49.929	51.6	6.8 Mw 	5	31	5	31	
2002-03-31 06:52 	Taiwan 	24.3	122.142	34	7.1 Mw 	5	5	5	4	
2002-04-25 17:41 	Georgia 	41.767	44.857	34.8	4.8 mb 	5	5	5	6	
2003-02-25 03:52 	China  	39.402	77.358	18.7	5.3 Mw 	5	5	5		
2004-02-16 14:44 	Indonesia 	-0.516	100.548	12.7	5.0 Mw 	5	5		5	
2005-06-13 22:44 	Chile 	-20.007	-69.198	105.2	7.8 Mw 	5	11		11	
2005-09-26 01:55 	Peru  	-5.721	-76.414	120.9	7.5 Mw 	5	5		5	
2005-12-12 21:47 	Afghanistan  	36.285	71.12	223.8	6.5 Mw 	5	5		5	
1972-04-24 09:57 	Taiwan  	23.604	121.534	21	6.9 Ms 	4	4	5		
1973-11-24 14:05 	Algeria 	36.201	4.473	33.1	5.1 mb 	4	4	4		
1976-03-13 16:30 	Guatemala 	14.725	-91.006	15	5.4 mb 	4	4	4		
1976-04-02 16:58 	Turkey 	39.801	43.689	25	4.6 mb 	4	4	4		
1976-04-29 22:18 	Turkey 	40.935	42.875	35	5.5 Ms 	4	4	4		
1976-08-19 01:12 	Turkey 	37.743	29.015	11.7	5.0 mb 	4	4	4	4	
1976-12-08 08:38 	South Africa 	-27.979	26.677	10	5.2 mb 	4	4	4		
1979-10-27 14:35 	Guatemala 	13.829	-90.841	56.5	6.8 Mw 	4	4	7		
1981-02-14 17:27 	Italy 	40.995	14.614	4.9	4.9 ML 	4	12			
1984-02-16 17:18 	Afghanistan 	36.447	70.84	208.1	6.4 Mw 	4	4	4	4	
1985-09-11 20:45 	China 	39.356	75.415	21.2	6.1 Mw 	4	4	3		
1989-11-20 03:21 	China 	29.883	106.826	24.7	5.2 mb 	4	4	7	4	
1990-06-14 07:40 	Philippines 	11.39	122.045	18.1	7.1 Mw 	4	4	4	4	
1990-08-11 02:59 	Ecuador 	-0.172	-78.483	18.4	5.3 Mw 	4	4	4	4	
1992-08-28 00:50 	Pakistan 	29.211	66.82	6.4	5.5 Mw 	4	4	4	4	
1992-10-22 17:39 	Egypt 	29.755	31.535	10	4.2 Md 	4	4	4		
1994-03-02 03:38 	Haiti 	19.941	-72.814	6.7	5.4 Mw 	4	4	4		
2001-06-01 14:00 	Afghanistan 	35.105	69.324	44.5	5.0 Mw 	4	4	4	4	
2001-08-09 02:06 	Peru 	-14.348	-72.68	9.6	5.8 Mw 	4	4	4	4	
2002-09-08 18:44 	Papua New Guinea 	-3.262	142.94	13	7.6 Mw 	4	4	4	4	
2003-08-16 10:58 	China 	43.779	119.718	23.3	5.4 Mw 	4	4	4	4	
2003-11-14 18:49 	China 	27.462	103.974	35	5.6 Mw 	4	4	4	4	
2004-08-10 10:26 	China 	27.318	103.917	13.2	5.3 Mw 	4	4		4	
2005-05-03 07:21 	Iran 	33.655	48.669	27.1	4.9 Mw 	4	4			
2006-02-22 22:19 	Mozambique 	-21.324	33.583	11	7.0 Mw 	4	4			
2006-03-20 19:44 	Algeria 	36.623	5.328	10	5.2 Mw 	4	4		4	
1970-02-05 22:05 	Philippines 	12.6	122.058	7.7	6.6 Ms 	3	3	3		
1974-06-12 16:25 	Venezuela 	10.509	-63.429	7.9	6.5 Muk 	3	3	5		
1975-04-05 09:34 	Venezuela 	10.065	-69.666	22.4	6.3 Muk 	3	3	3		
1975-12-30 14:36 	Turkey 	38.595	40.526	31.8	4.6 mb 	3	3			
1977-05-26 01:35 	Iran 	38.896	44.324	16.9	5.6 Mw 	3	3	3	3	
1977-08-31 00:42 	Colombia 	7.351	-76.159	21.3	6.5 Mw 	3	3	3		
1977-12-10 05:46 	Iran 	27.687	56.578	13.9	5.6 Mw 	3	3		3	
1980-12-22 12:51 	Iran 	34.427	50.634	16.4	5.7 Mw 	3	3	3	4	
1981-10-25 03:22 	Mexico 	18.115	-102.009	19	7.2 Mw 	3	3	9	3	
1982-03-28 23:24 	Peru 	-12.743	-76.01	90.8	6.3 Mw 	3	3	3	3	
1982-09-29 05:50 	Honduras 	14.494	-89.102	13.9	5.6 Mw 	3	3	3		
1982-11-15 20:07 	Algeria 	35.585	1.361	7.1	5.2 Mw 	3	3	3		
1983-07-22 02:41 	Iran 	36.942	49.213	20	5.6 mb 	3	3	3	3	
1984-05-07 17:49 	Italy 	41.738	13.889	21.4	5.9 Mw 	3	3	7	3	
1984-09-18 13:26 	Turkey 	40.892	42.241	10	5.5 Mw 	3	3	3	3	
1984-10-18 09:46 	Turkey 	40.711	42.447	35	5.4 Mw 	3	3	3	3	
1986-12-07 14:17 	Bulgaria 	43.278	26.003	4.8	5.6 Mw 	3	3	3	3	
1987-10-02 22:27 	Peru  	-8.166	-77.961	29.8	5.6 Mw 	3	3	3		
1988-08-06 00:36 	Burma 	25.105	95.126	90.5	7.2 Mw 	3	35	3	2	
1989-04-25 14:29 	Mexico 	16.779	-99.275	19	6.9 Mw 	3	3	3	3	
1989-11-20 04:19 	Iran 	29.898	57.716	14.9	5.9 Mw 	3	3	3		
1990-04-18 13:39 	Indonesia 	1.195	122.816	26	7.6 Mw 	3	3	3	5	
1992-05-15 08:08 	Uzbekistan 	41.001	72.449	37.1	6.2 Ms 	3	3	3	9	
1993-04-18 09:16 	Peru 	-11.721	-76.513	106	6.2 Mw 	3	6	6	6	
1993-10-16 03:05 	Papua New Guinea 	-5.877	146.28	27	6.3 Mw 	3	3	3		
1994-06-20 09:09 	Iran 	29.053	52.671	10.8	5.9 Mw 	3	3	3	2	
1994-12-28 12:19 	Japan 	40.523	143.43	27	7.7 Mw 	3	3	3	2	
1995-07-30 05:11 	Chile  	-23.34	-70.253	46	8.0 Mw 	3	3	3	3	
1995-09-14 14:04 	Mexico 	16.849	-98.608	23	7.3 Mw 	3	3	3	6	
1998-08-04 18:59 	Ecuador  	-0.594	-80.313	20	7.1 Mw 	3	3	3	3	
1998-08-27 09:03 	China 	39.572	77.298	28	6.3 Mw 	3	3	3		
2000-05-17 03:25 	Taiwan 	24.167	121.078	15	5.4 Mw 	3	3	3		
2001-02-23 00:09 	China 	29.459	101.079	7	5.6 Mw 	3	3	3	3	
2002-01-09 06:45 	Tajikistan 	38.644	69.844	28.6	5.2 Mw 	3	3	3	3	
2002-11-02 01:26 	Indonesia 	2.837	96.088	30	7.2 Mw 	3	3	3	3	
2003-10-16 12:28 	China 	25.882	101.256	35	5.6 Mw 	3	3	3	3	
2004-02-24 02:14 	Burundi 	-3.36	29.446	15.7	4.7 mb 	3	3		3	
2004-04-05 21:24 	Afghanistan 	36.48	71.042	175	6.5 Mw 	3	3			
2006-07-29 00:11 	Tajikistan  	37.255	68.828	34	5.6 Mw 	3	3		3	
2007-01-21 11:27 	Indonesia 	1.065	126.282	22	7.5 Mw 	3	4			
2007-06-02 21:34 	China 	23.02	101.01	5	6.1 Mw 	3	3		3	
2007-07-21 22:44 	Tajikistan 	38.936	70.485	10	5.2 Mw 	3	12		11	
2007-11-25 16:02 	Indonesia 	-8.292	118.37	20	6.5 Mw 	3	3			
2008-02-20 08:08 	Indonesia 	2.768	95.964	26	7.3 Mw 	3	3		3	
1968-09-20 06:00 	Venezuela 	10.731	-62.719	102.6	6.2 mb 	2	2	3		
1969-03-31 07:15 	Egypt 	27.511	33.936	3.5	6.8 Ms 	2	2	2		
1970-11-14 07:58 	Taiwan 	22.839	121.363	27.6	6.1 Ms 	2	2	2		
1974-02-01 00:01 	Turkey 	38.54	27.263	11.9	5.4 ML 	2	2			
1974-08-03 18:16 	Japan 	36.016	139.901	51.4	5.6 mb 	2	2			
1975-03-13 15:26 	Chile 	-29.91	-71.393	31.3	6.9 Ms 	2	2	2		
1975-07-19 06:10 	India 	31.937	78.605	12.8	5.3 mb 	2	2			
1975-11-29 14:47 	United States Minor Outlying Islands 	19.452	-155.034	2.1	7.2 Ms 	2	2	2		
1977-08-27 07:12 	Indonesia 	-8.136	125.326	44.6	7.0 Mw 	2	2	2		
1978-02-22 06:07 	Guatemala 	14.268	-91.399	66.9	6.3 Mw 	2	2	2		
1978-03-11 19:20 	Italy 	38.046	15.99	22.2	5.2 Mw 	2	2	2		
1978-12-23 11:23 	Taiwan 	23.217	122.009	45.5	7.0 Mw 	2	2	2		
