,Unnamed: 0,Origin (UTC),Country,Lat,Long,Depth (km),Magnitude,PDE Shaking Deaths,PDE Total Deaths,Utsu Total Deaths,EM-DAT Total Deaths,Other Source Deaths,MaxDeaths
1251,1299,21-01-02 04:39,Democratic Republic of the Congo ,-1.77,28.996,11.6,5.1 Mw ,,,,45.0,,
1252,1302,22-05-03 18:11,Kazakhstan ,42.954,72.763,35,5.5 Mw ,,,,3.0,,
1253,1310,28-05-04 12:38,Iran ,36.257,51.565,26.7,6.3 Mw ,,35.0,,35.0,,
1254,1311,26-12-04 00:58,Indonesia  ,3.287,95.972,30,9.1 Mw ,,297200.0,,,231000.0,
1255,1316,30-08-08 08:30,China  ,26,101.9,10,5.7 Mw ,,,,,41.0,
1256,1317,05-10-08 15:52,Kyrgyzstan  ,39.515,73.768,27.6,6.9 Mw ,,,,,60.0,
1257,1319,28-10-08 23:09,Pakistan  ,,,,6.4 Mw ,,,,,215.0,
1258,1320,08-01-09 19:21,Costa Rica  ,10.3962,-84.0281,48,6.1 Mw ,,,,,34.0,
1259,1321,06-04-09 03:32,Italy  ,42.334,13.334,8.8,6.2 Mw ,,,,,295.0,
1260,1323,10-08-09 20:07,Japan  ,,,,6.4 Mw ,,,,,1.0,
1261,1324,02-09-09 07:55,Indonesia  ,,,,7.0 Mw ,,,,,79.0,
1262,1325,29-09-09 17:48,Samoa  ,,,8.1,8.1 Mw ,,,,,189.0,
1263,1326,30-09-09 10:16,Indonesia  ,,,,7.6 Mw ,,,,,1115.0,
1264,1327,12-01-10 17:00,Haiti  ,18.457,-72.533,13,7.0 Mw ,,,,,222517.0,
1265,1328,27-02-10 06:34,Chile  ,-35.846,-72.719,35,8.8 Mw  ,,,,,521.0,
1266,1329,08-03-10 02:32,Turkey  ,,,,6.1 Mw ,,,,,42.0,
1267,1330,11-03-10 14:39,Chile  ,,,,6.9 Mw ,,,,,1.0,
1268,1331,14-04-10 23:49,China  ,,,,6.9 Mw ,,,,,2698.0,
1269,1332,21-02-11 23:51,New Zealand  ,,,,6.3 Mw ,,,,,181.0,
1270,1334,11-03-11 14:46,Japan  ,38.322,142.369,24.4,9.0 Mw ,,,,,15894.0,
1271,1335,24-03-11 20:25,Burma  ,,,,6.8 Mw ,,,,,150.0,
1272,1337,18-09-11 12:40,India  ,27.723,88.064,19.7,6.9 Mw ,,,,,111.0,
1273,1338,23-09-11 10:41,Turkey  ,38.6,43.5,7.2,7.1 Mw ,,,,,601.0,
